totalRent,regio1,regio2,livingSpace,noRooms
840.0,Nordrhein_Westfalen,Dortmund,86.0,4.0
1300.0,Sachsen,Dresden,83.8,3.0
903.0,Bremen,Bremen,84.97,3.0
380.0,Sachsen,Mittelsachsen_Kreis,62.0,2.0
584.25,Bremen,Bremen,60.3,3.0
690.0,Baden_Württemberg,Emmendingen_Kreis,53.0,2.0
307.0,Sachsen,Chemnitz,40.2,2.0
555.0,Sachsen,Mittelsachsen_Kreis,80.0,3.0
920.0,Rheinland_Pfalz,Südliche_Weinstraße_Kreis,100.0,4.0
1150.0,Nordrhein_Westfalen,Hamm,123.44,4.0
1320.65,Nordrhein_Westfalen,Dortmund,87.0,3.0
300.0,Thüringen,Weimar,36.63,1.0
970.0,Hessen,Main_Kinzig_Kreis,87.0,3.0
325.0,Sachsen,Mittelsachsen_Kreis,50.0,2.0
1878.48,Niedersachsen,Göttingen_Kreis,127.95,5.0
1450.0,Schleswig_Holstein,Neumünster,160.0,4.0
1190.0,Baden_Württemberg,Stuttgart,29.0,1.5
1946.0,Sachsen,Leipzig,140.0,4.0
2030.0,Bayern,München,81.0,2.0
760.0,Hamburg,Hamburg,55.89,3.0
396.0,Niedersachsen,Braunschweig,31.0,1.5
355.0,Baden_Württemberg,Esslingen_Kreis,12.0,1.0
447.62,Sachsen_Anhalt,Magdeburg,56.66,3.0
2400.0,Bayern,München,61.0,3.0
624.1,Mecklenburg_Vorpommern,Schwerin,47.28,2.0
970.0,Bayern,Passau,106.08,2.0
445.18,Nordrhein_Westfalen,Mettmann_Kreis,60.0,2.0
2780.0,Bayern,München,100.0,3.0
245.0,Sachsen,Vogtlandkreis,35.0,2.0
1195.0,Hessen,Groß_Gerau_Kreis,35.0,1.0
548.0,Sachsen,Sächsische_Schweiz_Osterzgebirge_Kreis,58.22,2.0
546.0,Sachsen,Görlitz_Kreis,74.0,3.0
350.0,Nordrhein_Westfalen,Rheinisch_Bergischer_Kreis,36.0,1.5
570.0,Nordrhein_Westfalen,Essen,70.0,3.5
1115.0,Baden_Württemberg,Mannheim,100.0,3.0
753.98,Nordrhein_Westfalen,Hochsauerlandkreis,87.33,3.0
396.0,Sachsen,Bautzen_Kreis,58.95,3.0
1140.0,Berlin,Berlin,77.0,3.0
2190.0,Hessen,Frankfurt_am_Main,96.0,4.0
340.0,Sachsen_Anhalt,Halle_Saale,40.0,2.0
1113.0,Schleswig_Holstein,Steinburg_Kreis,81.0,3.0
377.0,Brandenburg,Oder_Spree_Kreis,36.29,1.0
380.0,Bremen,Bremerhaven,62.13,3.0
535.0,Sachsen,Zwickau_Kreis,79.0,3.0
820.0,Hessen,Frankfurt_am_Main,52.0,2.0
501.0,Sachsen,Chemnitz,65.0,3.0
330.0,Sachsen,Nordsachsen_Kreis,42.0,2.0
453.8,Mecklenburg_Vorpommern,Schwerin,42.52,2.0
340.0,Sachsen,Nordsachsen_Kreis,44.66,2.0
425.0,Sachsen,Chemnitz,53.12,2.0
1950.0,Hessen,Frankfurt_am_Main,46.0,1.0
955.0,Berlin,Berlin,62.63,2.0
490.0,Schleswig_Holstein,Steinburg_Kreis,70.0,3.0
493.8,Nordrhein_Westfalen,Dortmund,62.0,2.0
505.0,Sachsen_Anhalt,Mansfeld_Südharz_Kreis,60.0,3.0
760.0,Sachsen,Chemnitz,115.0,5.0
690.0,Rheinland_Pfalz,Alzey_Worms_Kreis,70.2,2.0
430.0,Hessen,Gießen_Kreis,42.0,1.0
960.0,Hessen,Main_Taunus_Kreis,82.0,3.0
835.0,Hessen,Frankfurt_am_Main,55.13,2.0
420.24,Sachsen,Leipzig,41.0,2.0
465.0,Nordrhein_Westfalen,Wuppertal,55.64,2.0
580.0,Sachsen,Leipzig,52.2,2.0
370.0,Sachsen,Zwickau,46.61,2.0
346.0,Sachsen,Leipzig,32.61,1.0
1300.0,Berlin,Berlin,46.4,2.0
540.0,Nordrhein_Westfalen,Hochsauerlandkreis,90.0,3.0
615.0,Sachsen,Zwickau_Kreis,86.0,4.0
1323.0,Nordrhein_Westfalen,Düsseldorf,100.59,4.0
890.0,Thüringen,Gera,128.0,3.0
430.0,Sachsen_Anhalt,Magdeburg,51.0,2.0
1900.0,Baden_Württemberg,Böblingen_Kreis,113.94,3.0
1428.78,Berlin,Berlin,67.0,2.5
1559.05,Berlin,Berlin,73.54,2.0
1201.0,Sachsen_Anhalt,Magdeburg,97.0,3.0
701.0,Sachsen,Dresden,66.54,3.0
715.0,Sachsen,Chemnitz,102.3,3.0
600.0,Sachsen,Leipzig,73.98,2.0
466.72,Mecklenburg_Vorpommern,Nordvorpommern_Kreis,67.64,4.0
650.0,Nordrhein_Westfalen,Rhein_Erft_Kreis,50.0,1.5
260.0,Sachsen,Chemnitz,41.19,1.5
930.0,Nordrhein_Westfalen,Mülheim_an_der_Ruhr,103.0,3.0
483.0,Sachsen_Anhalt,Halle_Saale,65.45,4.0
397.0,Sachsen,Chemnitz,55.0,2.0
480.0,Nordrhein_Westfalen,Aachen_Kreis,51.0,2.0
282.0,Sachsen,Chemnitz,43.17,2.0
385.0,Sachsen,Erzgebirgskreis,53.5,2.0
1397.0,Baden_Württemberg,Baden_Baden,105.0,4.0
760.0,Baden_Württemberg,Tuttlingen_Kreis,100.0,4.0
720.0,Bayern,Nürnberg,50.0,2.0
499.0,Sachsen,Leipzig,55.0,2.0
509.79,Sachsen_Anhalt,Magdeburg,60.69,3.0
412.32,Nordrhein_Westfalen,Remscheid,54.0,2.0
435.0,Brandenburg,Märkisch_Oderland_Kreis,60.71,2.0
1710.0,Hessen,Wiesbaden,136.0,5.0
455.0,Thüringen,Gera,63.0,2.0
1390.0,Bayern,München,33.0,1.0
985.0,Hessen,Wetteraukreis,93.0,3.0
561.0,Sachsen,Dresden,58.79,2.0
560.0,Sachsen,Zwickau,60.0,2.0
700.0,Nordrhein_Westfalen,Wuppertal,90.0,3.0
635.0,Hessen,Kassel,43.0,1.0
1080.0,Nordrhein_Westfalen,Bielefeld,110.0,3.0
320.0,Sachsen_Anhalt,Salzlandkreis,48.0,2.0
1280.0,Berlin,Berlin,83.14,3.0
570.0,Nordrhein_Westfalen,Aachen,55.0,2.0
788.0,Niedersachsen,Harburg_Kreis,66.62,3.0
390.0,Nordrhein_Westfalen,Höxter_Kreis,58.0,3.0
1212.0,Nordrhein_Westfalen,Bielefeld,111.55,2.5
980.0,Baden_Württemberg,Mannheim,76.0,2.0
1445.0,Hessen,Frankfurt_am_Main,93.94,3.0
534.32,Sachsen,Zwickau_Kreis,67.43,3.0
1550.0,Rheinland_Pfalz,Germersheim_Kreis,170.0,4.5
590.0,Brandenburg,Brandenburg_an_der_Havel,67.8,3.0
358.0,Sachsen,Leipzig_Kreis,45.81,2.0
670.0,Baden_Württemberg,Karlsruhe,40.0,2.0
656.72,Berlin,Berlin,62.23,3.0
350.0,Mecklenburg_Vorpommern,Nordwestmecklenburg_Kreis,33.8,2.0
350.0,Sachsen,Nordsachsen_Kreis,44.0,2.0
460.0,Nordrhein_Westfalen,Dortmund,55.0,2.0
1160.0,Hessen,Frankfurt_am_Main,63.0,2.0
895.0,Hessen,Main_Kinzig_Kreis,72.0,3.0
385.0,Sachsen,Meißen_Kreis,68.0,2.0
906.11,Sachsen,Chemnitz,104.15,4.0
445.0,Mecklenburg_Vorpommern,Ostvorpommern_Kreis,60.0,2.0
833.0,Sachsen,Leipzig,69.42,2.0
959.79,Sachsen_Anhalt,Magdeburg,89.7,2.0
739.03,Sachsen,Leipzig,69.72,2.0
1631.0,Sachsen,Leipzig,130.45,4.0
365.0,Sachsen,Sächsische_Schweiz_Osterzgebirge_Kreis,48.0,1.0
510.0,Sachsen,Dresden,44.94,2.0
800.0,Sachsen,Leipzig,110.0,4.0
1690.0,Sachsen,Dresden,109.1,4.0
2400.0,Baden_Württemberg,Rems_Murr_Kreis,123.22,3.0
1544.0,Hamburg,Hamburg,120.0,5.0
